feature_id,cycle_id,stage_id,stage_ordinal,configuration,left_shift,right_shift,half_width,feature_value
MAG_F1_DW_Q90,C2,S1,1,24,0.025,0.025,0.026,0.309016146322844
MAG_F1_DW_Q90,C2,S1,1,25,0.025,0.025,0.033,0.31190682731206
MAG_F1_DW_Q90,C2,S1,1,26,0.025,0.025,0.042,0.318910712093455
MAG_F1_DW_Q90,C2,S2,2,0,-0.025,-0.025,0.026,0.213850413978354
MAG_F1_DW_Q90,C2,S2,2,1,-0.025,-0.025,0.033,0.212945596022839
MAG_F1_DW_Q90,C2,S2,2,2,-0.025,-0.025,0.042,0.213929623077655
MAG_F1_DW_Q90,C2,S2,2,3,-0.025,0,0.026,0.216233509128039
MAG_F1_DW_Q90,C2,S2,2,4,-0.025,0,0.033,0.220941964833058
MAG_F1_DW_Q90,C2,S2,2,5,-0.025,0,0.042,0.224792192945833
MAG_F1_DW_Q90,C2,S2,2,6,-0.025,0.025,0.026,0.22876781394096
MAG_F1_DW_Q90,C2,S2,2,7,-0.025,0.025,0.033,0.235317476527254
MAG_F1_DW_Q90,C2,S2,2,8,-0.025,0.025,0.042,0.237037489376396
MAG_F1_DW_Q90,C2,S2,2,9,0,-0.025,0.026,0.210664828434532
MAG_F1_DW_Q90,C2,S2,2,10,0,-0.025,0.033,0.210747518574118
MAG_F1_DW_Q90,C2,S2,2,11,0,-0.025,0.042,0.212372353818803
MAG_F1_DW_Q90,C2,S2,2,12,0,0,0.026,0.213030044348665
MAG_F1_DW_Q90,C2,S2,2,13,0,0,0.033,0.218764736530775
MAG_F1_DW_Q90,C2,S2,2,14,0,0,0.042,0.223173919918293
MAG_F1_DW_Q90,C2,S2,2,15,0,0.025,0.026,0.199634428293067
MAG_F1_DW_Q90,C2,S2,2,16,0,0.025,0.033,0.207917482611682
MAG_F1_DW_Q90,C2,S2,2,17,0,0.025,0.042,0.210383671003453
MAG_F1_DW_Q90,C2,S2,2,18,0.025,-0.025,0.026,0.208684406573479
MAG_F1_DW_Q90,C2,S2,2,19,0.025,-0.025,0.033,0.20883630307959
MAG_F1_DW_Q90,C2,S2,2,20,0.025,-0.025,0.042,0.209568095040424
MAG_F1_DW_Q90,C2,S2,2,21,0.025,0,0.026,0.183298626185896
MAG_F1_DW_Q90,C2,S2,2,22,0.025,0,0.033,0.189667613665717
MAG_F1_DW_Q90,C2,S2,2,23,0.025,0,0.042,0.193743421153884
MAG_F1_DW_Q90,C2,S2,2,24,0.025,0.025,0.026,0.197633023858034
MAG_F1_DW_Q90,C2,S2,2,25,0.025,0.025,0.033,0.206066439313362
MAG_F1_DW_Q90,C2,S2,2,26,0.025,0.025,0.042,0.207742454053088
MAG_F1_DW_Q90,C2,S3,3,0,-0.025,-0.025,0.026,0.829350535792116
MAG_F1_DW_Q90,C2,S3,3,1,-0.025,-0.025,0.033,0.833437955828372
MAG_F1_DW_Q90,C2,S3,3,2,-0.025,-0.025,0.042,0.836548013689361
MAG_F1_DW_Q90,C2,S3,3,3,-0.025,0,0.026,0.848152892679138
MAG_F1_DW_Q90,C2,S3,3,4,-0.025,0,0.033,0.857360358786114
MAG_F1_DW_Q90,C2,S3,3,5,-0.025,0,0.042,0.86467395484569
MAG_F1_DW_Q90,C2,S3,3,6,-0.025,0.025,0.026,0.859909771919206
MAG_F1_DW_Q90,C2,S3,3,7,-0.025,0.025,0.033,0.868270753977813
MAG_F1_DW_Q90,C2,S3,3,8,-0.025,0.025,0.042,0.880150596147301
MAG_F1_DW_Q90,C2,S3,3,9,0,-0.025,0.026,0.823838397437736
MAG_F1_DW_Q90,C2,S3,3,10,0,-0.025,0.033,0.826802193823394
MAG_F1_DW_Q90,C2,S3,3,11,0,-0.025,0.042,0.835449673787453
MAG_F1_DW_Q90,C2,S3,3,12,0,0,0.026,0.846381818909975
MAG_F1_DW_Q90,C2,S3,3,13,0,0,0.033,0.856306823867754
MAG_F1_DW_Q90,C2,S3,3,14,0,0,0.042,0.869145127372861
MAG_F1_DW_Q90,C2,S3,3,15,0,0.025,0.026,0.86272666961538
MAG_F1_DW_Q90,C2,S3,3,16,0,0.025,0.033,0.869823388219553
MAG_F1_DW_Q90,C2,S3,3,17,0,0.025,0.042,0.885398548527787
MAG_F1_DW_Q90,C2,S3,3,18,0.025,-0.025,0.026,0.831595520086846
MAG_F1_DW_Q90,C2,S3,3,19,0.025,-0.025,0.033,0.833237738145419
MAG_F1_DW_Q90,C2,S3,3,20,0.025,-0.025,0.042,0.839828165915137
MAG_F1_DW_Q90,C2,S3,3,21,0.025,0,0.026,0.852558255224115
MAG_F1_DW_Q90,C2,S3,3,22,0.025,0,0.033,0.860074323255005
MAG_F1_DW_Q90,C2,S3,3,23,0.025,0,0.042,0.871217038359685
MAG_F1_DW_Q90,C2,S3,3,24,0.025,0.025,0.026,0.866491689352815
MAG_F1_DW_Q90,C2,S3,3,25,0.025,0.025,0.033,0.869708870939823
MAG_F1_DW_Q90,C2,S3,3,26,0.025,0.025,0.042,0.885049991516664
MAG_F1_DW_Q90,C2,S4,4,0,-0.025,-0.025,0.026,1.15161935958325
MAG_F1_DW_Q90,C2,S4,4,1,-0.025,-0.025,0.033,1.16069667606344
MAG_F1_DW_Q90,C2,S4,4,2,-0.025,-0.025,0.042,1.16435314963454
MAG_F1_DW_Q90,C2,S4,4,3,-0.025,0,0.026,1.169220522777
MAG_F1_DW_Q90,C2,S4,4,4,-0.025,0,0.033,1.17945861218902
MAG_F1_DW_Q90,C2,S4,4,5,-0.025,0,0.042,1.19269246521454
MAG_F1_DW_Q90,C2,S4,4,6,-0.025,0.025,0.026,1.18421759044831
MAG_F1_DW_Q90,C2,S4,4,7,-0.025,0.025,0.033,1.1977350928703
MAG_F1_DW_Q90,C2,S4,4,8,-0.025,0.025,0.042,1.20398129854697
MAG_F1_DW_Q90,C2,S4,4,9,0,-0.025,0.026,1.1455364669289
MAG_F1_DW_Q90,C2,S4,4,10,0,-0.025,0.033,1.15565605608847
MAG_F1_DW_Q90,C2,S4,4,11,0,-0.025,0.042,1.16047653065067
MAG_F1_DW_Q90,C2,S4,4,12,0,0,0.026,1.16022831001784
MAG_F1_DW_Q90,C2,S4,4,13,0,0,0.033,1.17209335392242
MAG_F1_DW_Q90,C2,S4,4,14,0,0,0.042,1.18595545521561
MAG_F1_DW_Q90,C2,S4,4,15,0,0.025,0.026,1.1825974325622
MAG_F1_DW_Q90,C2,S4,4,16,0,0.025,0.033,1.19568985390971
MAG_F1_DW_Q90,C2,S4,4,17,0,0.025,0.042,1.20091790831067
MAG_F1_DW_Q90,C2,S4,4,18,0.025,-0.025,0.026,1.13938000798576
MAG_F1_DW_Q90,C2,S4,4,19,0.025,-0.025,0.033,1.14579220353517
MAG_F1_DW_Q90,C2,S4,4,20,0.025,-0.025,0.042,1.1511538633512
