cycle_id,stage_id,stage_ordinal,channel,good_from_S0,E1_channel,EDirect_channel,S0_reference_MAD
C2,S0,0,15,1,0,0,21.7458946890827
C2,S0,0,16,1,0,0,17.5135256739724
C2,S0,0,17,1,0,0,20.6184220537301
C2,S0,0,18,1,0,0,16.5687438410744
C2,S0,0,19,1,0,0,25.3850779016355
C2,S0,0,20,1,0,0,11.4012673137187
C2,S1,1,1,1,0.490556075312783,0.299448132351426,13.250254295078
C2,S1,1,2,1,0.63709259829146,0.135621883685846,15.8441828960727
C2,S1,1,3,1,0.732128134181652,0.301947860379548,14.0096562935255
C2,S1,1,4,1,0.524227100601191,0.0740301432315755,16.6431731644067
C2,S1,1,5,1,0.744668513182419,0.306882458501449,12.9012391898455
C2,S1,1,6,1,0.482449028966557,0.143699825841007,16.6303612185893
C2,S1,1,7,1,1.10986926082751,0.381792236331295,10.8610338993165
C2,S1,1,8,1,0.827270886438507,0.0437574669093137,14.6074990506769
C2,S1,1,9,1,0.7427266453686,0.151145577931622,18.4694023000185
C2,S1,1,10,1,1.03865359478555,1.24894419818408,18.1668987644462
C2,S1,1,11,1,0.740000117048046,0.096421704492923,14.134453189375
C2,S1,1,12,1,0.559941508220166,0.089163184140758,21.0178683800638
C2,S1,1,13,1,0.42719166138558,0.058394337773624,20.0292216804705
C2,S1,1,14,1,0.614551849279096,0.0720735742375188,16.2393295664791
C2,S1,1,15,1,0.558739748620249,0.0499658478774846,21.7458946890827
C2,S1,1,16,1,0.627312541434338,0.191837001996756,17.5135256739724
C2,S1,1,17,1,0.531916203902822,0.0778663156134931,20.6184220537301
C2,S1,1,18,1,0.646406960575746,0.258383782027222,16.5687438410744
C2,S1,1,19,1,0.225067089798983,0.035915301775158,25.3850779016355
C2,S1,1,20,1,0.501533934453734,0.376793368138793,11.4012673137187
C2,S2,2,1,1,0.226954645729337,0.550370656584722,13.250254295078
C2,S2,2,2,1,0.113029445484031,0.220320498171815,15.8441828960727
C2,S2,2,3,1,0.373327228262054,0.473014790687115,14.0096562935255
C2,S2,2,4,1,0.27455232903131,0.150786546589964,16.6431731644067
C2,S2,2,5,1,0.379320462556762,0.492796121061724,12.9012391898455
C2,S2,2,6,1,0.239216997040705,0.426774539183639,16.6303612185893
C2,S2,2,7,1,0.621365869018951,0.750831367886374,10.8610338993165
C2,S2,2,8,1,0.317392279972567,0.12793790194138,14.6074990506769
C2,S2,2,9,1,0.362742604349041,0.410448563994605,18.4694023000185
C2,S2,2,10,1,0.228901016275424,0.354753930755328,18.1668987644462
C2,S2,2,11,1,0.154679138742954,0.134866428499459,14.134453189375
C2,S2,2,12,1,0.11039458512529,0.169305987040968,21.0178683800638
C2,S2,2,13,1,-0.00988408171982999,0.107966812043229,20.0292216804705
C2,S2,2,14,1,0.145443093831231,0.170016638831083,16.2393295664791
C2,S2,2,15,1,0.0889574935613868,0.0487285645480661,21.7458946890827
C2,S2,2,16,1,0.323608734987497,0.455417317646677,17.5135256739724
C2,S2,2,17,1,0.0440284858443169,0.103405081882019,20.6184220537301
C2,S2,2,18,1,0.338375191380928,0.568814893704318,16.5687438410744
C2,S2,2,19,1,-0.111916068270856,0.0614245324842213,25.3850779016355
C2,S2,2,20,1,0.405302280982052,0.662081853052342,11.4012673137187
C2,S3,3,1,1,-0.0283709658758022,0.444246764399822,13.250254295078
C2,S3,3,2,1,0.0244423788320588,0.563099144952621,15.8441828960727
C2,S3,3,3,1,0.160889208313925,0.0880488446347267,14.0096562935255
C2,S3,3,4,1,0.375785171063862,1.07407646190208,16.6431731644067
C2,S3,3,5,1,0.0314306966397369,0.432962905227516,12.9012391898455
C2,S3,3,6,1,0.13829030155672,0.314842001244455,16.6303612185893
C2,S3,3,7,1,0.570407636748091,0.744270353908735,10.8610338993165
C2,S3,3,8,1,0.317092590084094,0.25109858595311,14.6074990506769
C2,S3,3,9,1,0.203887213610084,0.58586029196667,18.4694023000185
C2,S3,3,10,1,-0.0932784834354618,0.0600011690445213,18.1668987644462
C2,S3,3,11,1,0.153457941593246,0.621622979551992,14.134453189375
C2,S3,3,12,1,-0.0130370118371015,0.29410465693701,21.0178683800638
C2,S3,3,13,1,-0.205070296414613,0.228122176145231,20.0292216804705
C2,S3,3,14,1,-0.112907198146251,0.200212169989682,16.2393295664791
C2,S3,3,15,1,-0.0449833345993104,0.147459918041151,21.7458946890827
C2,S3,3,16,1,0.038616928447538,0.299566842323589,17.5135256739724
C2,S3,3,17,1,0.119455567540587,0.150058644917981,20.6184220537301
C2,S3,3,18,1,0.18344441360194,0.558571450448183,16.5687438410744
C2,S3,3,19,1,-0.288100956925894,0.174731149268843,25.3850779016355
C2,S3,3,20,1,0.192400608976787,0.788901206646538,11.4012673137187
C2,S4,4,1,1,0.393966725684168,0.473493998421551,13.250254295078
C2,S4,4,2,1,0.455380765079422,0.54914507652891,15.8441828960727
C2,S4,4,3,1,0.531813688490336,0.203443704263942,14.0096562935255
C2,S4,4,4,1,0.939455047044779,1.03404334434097,16.6431731644067
C2,S4,4,5,1,0.463607730294045,0.0952908484456735,12.9012391898455
